recept	ingrediens	behov	enhet	kedja	produkt	kategori	paket	paketenhet	antal	exakt	radpris	flagga
kycklingwraps-lunch	Grekisk yoghurt	2.0	dl	Hemköp	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	19.34	smakords_misstanke 
kycklingwraps-lunch	Grekisk yoghurt	2.0	dl	City Gross	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	16.95	smakords_misstanke 
lammfarsbiffar-tzatziki	Grekisk yoghurt	3.0	dl	Willys	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	14.9	smakords_misstanke 
lammfarsbiffar-tzatziki	Grekisk yoghurt	3.0	dl	Hemköp	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	19.34	smakords_misstanke 
lammfarsbiffar-tzatziki	Grekisk yoghurt	3.0	dl	City Gross	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	16.95	smakords_misstanke 
lax-pasta-bulk	Pasta	450.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
lax-pasta-bulk	Pasta	450.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
lax-pasta-bulk	Pasta	450.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
lax-teriyaki	Sojasås	1.0	dl	Willys	Sojasås Japansk Vegan	Skafferi > Kryddor & smaksättare > Soja	176.0	g	1	False	31.13	estimat volym_mot_vikt
laxpoke	Sojasås	0.5	dl	Willys	Sojasås Japansk Vegan	Skafferi > Kryddor & smaksättare > Soja	176.0	g	1	False	31.13	estimat volym_mot_vikt
linsbolognese-proteinrik	Pasta	400.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
linsbolognese-proteinrik	Pasta	400.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
linsbolognese-proteinrik	Pasta	400.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
morotsbiffar-tzatziki	Grekisk yoghurt	3.0	dl	Willys	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	14.9	smakords_misstanke 
morotsbiffar-tzatziki	Grekisk yoghurt	3.0	dl	Hemköp	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	19.34	smakords_misstanke 
morotsbiffar-tzatziki	Grekisk yoghurt	3.0	dl	City Gross	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	16.95	smakords_misstanke 
pasta-skinksas	Pasta	400.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
pasta-skinksas	Pasta	400.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
pasta-skinksas	Pasta	400.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
pasta-tomatsas-vitlok	Pasta	400.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
pasta-tomatsas-vitlok	Pasta	400.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
pasta-tomatsas-vitlok	Pasta	400.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
pastagratang	Pasta	250.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
pastagratang	Pasta	250.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
pastagratang	Pasta	250.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
pastasallad-kyckling-lunch	Pasta	350.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
pastasallad-kyckling-lunch	Pasta	350.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
pastasallad-kyckling-lunch	Pasta	350.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
rostbiff-potatissallad	Rostbiff	400.0	g	Willys	Rostbiff i Skivor Sverige	Kött, chark & fågel > Kött > Nöt & kalv	350.0	g	2	True	538.0	rad_over_500 538.0 kr
scampi	Pasta	250.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
scampi	Pasta	250.0	g	Hemköp	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	9.41	smakords_misstanke 
scampi	Pasta	250.0	g	City Gross	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	8.5	smakords_misstanke 
sotpotatis-bulk-bowl	Grekisk yoghurt	2.0	dl	Willys	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	14.9	smakords_misstanke 
sotpotatis-bulk-bowl	Grekisk yoghurt	2.0	dl	Hemköp	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	19.34	smakords_misstanke 
sotpotatis-bulk-bowl	Grekisk yoghurt	2.0	dl	City Gross	Grekisk Matyoghurt 10% Familjefavoriter	Mejeri, ost & ägg > Matlagning > Matlagningsyoghurt	500.0	g	1	True	16.95	smakords_misstanke 
sotpotatissoppa	Röd currypasta	30.0	g	Hemköp	Red Curry Paste Currypasta	Skafferi > Asien > Övrigt asien	50.0	g	1	True	14.14	smakords_misstanke 
sparrispastacitron	Pasta	250.0	g	Willys	Penne Rigate Pasta	Skafferi > Pasta, ris & matgryn > Pasta > Kort pasta	500.0	g	1	True	7.9	smakords_misstanke 
